,id,created_at,country_name,state,account_id
0,f76d3628cb,2009-09-10 20:34:10,Norway,active,c766847b75
1,ecf04f4dc8,2009-09-17 15:53:46,United States,active,fadb0700b8
2,2f77d13af9,2009-09-21 08:20:44,United States,active,0628aa0174
3,46cfd7f501,2009-09-30 11:58:36,Canada,deleted,29d41a7e1a
4,b7a0259dac,2009-10-09 23:31:44,,active,3828d216f7
5,dea6ebc99c,2009-10-13 20:41:53,United States,active,cf52cd5107
6,3fb77f18cf,2009-10-16 23:39:37,Mexico,active,89bf91f90f
7,1eb186d517,2009-11-23 00:21:27,United States,active,b864d8e686
8,38f17777cd,2009-12-10 23:22:52,Chile,active,63359fba70
9,037509d450,2010-02-17 10:19:43,Australia,active,782d8e2869
10,2bae85bcee,2010-02-17 16:07:24,United States,active,1ebb282e66
11,97dc047e34,2010-04-12 15:27:47,United States,active,4ef7267ca8
12,5974595fe4,2010-04-20 20:55:35,Brazil,active,a0c005c805
13,af824883d6,2010-04-23 04:37:44,United States,active,1ab716a87b
14,3cb8d33dd0,2010-05-20 11:41:10,United States,active,75a67af66e
15,017f6ca7b0,2010-05-24 17:27:18,Spain,active,bb414e71c3
16,249c6eea03,2010-07-18 04:21:26,Ecuador,active,e8d9f583f8
17,5783aeb2cc,2010-07-21 22:38:02,United States,active,98ddabf032
18,1843900141,2010-08-06 20:49:27,,deleted,75ebfefae3
19,a0da86ea7c,2010-08-26 22:41:08,Hungary,deleted,6ec1e1d745
20,01c528e1ee,2010-09-21 21:09:01,,active,de15134bb9
21,1e51d770b5,2010-09-22 18:47:04,United States,active,50749a8657
22,0c244ddd3a,2010-09-25 18:32:18,United States,active,253d95ec27
23,2591a467bb,2010-09-28 21:03:26,Canada,active,b02bfc6e27
24,37b69dd1c7,2010-09-30 15:44:25,United States,active,92028a77bf
25,a5119d3add,2010-10-17 13:36:54,United Kingdom,active,fd4f5207f6
26,629fd0525b,2010-10-20 21:31:40,Canada,active,9c290ff320
27,8f6b40b42b,2010-10-22 22:13:32,United States,active,41efe41eec
28,8d95e55463,2010-10-23 22:07:09,United Kingdom,active,c85022c2de
29,bea12f9c94,2010-10-26 15:05:57,Norway,deleted,3c4055c37d
30,c34d04b35d,2010-11-04 11:04:06,Germany,active,83666fc96c
31,92927c0d5a,2010-11-15 15:32:13,United States,active,741a4fd1d5
32,bf8566656d,2010-11-15 18:33:35,United States,deleted,e8715cbe05
33,01c64b5116,2010-11-27 17:37:19,Chile,active,351ff2941f
34,a4a5ac0a77,2010-11-29 04:37:44,Honduras,active,5f170dd3ea
35,4ce7b14e77,2010-11-29 21:10:38,United States,active,6d99d01b1f
36,d9462b5b1b,2010-12-09 19:44:28,,active,ae08b6db23
37,bb60f47eab,2010-12-16 03:37:30,Chile,active,2afdd38595
38,df3302d66c,2010-12-19 16:06:18,United States,active,566473a5aa
39,826f0a81de,2011-01-01 00:42:36,United States,active,5f98010546
40,e4504ea2b7,2011-01-06 20:23:33,Dominican Republic,deleted,00da7666bf
41,b258bcdb5f,2011-01-19 11:11:54,United Kingdom,active,90f50c4e0d
42,b45e422448,2011-01-28 06:41:37,United States,deleted,2820196059
43,678c91b2c0,2011-02-12 04:12:04,Argentina,active,656b710c21
44,2643859654,2011-02-12 15:44:20,United States,deleted,8a56e8863d
45,2211a40ed3,2011-02-18 03:47:19,United States,active,19d9131197
46,a3fb508d9a,2011-02-24 06:27:56,United States,active,3b5692f9a3
47,55d28ce205,2011-02-25 03:51:32,United States,active,a83652927d
48,977e6ed33f,2011-02-28 21:13:51,United Kingdom,active,6321b6b932
49,cbe156fb4d,2011-03-19 22:17:41,United Kingdom,active,41e1b4fda7
50,84bbfef5cf,2011-03-21 02:51:34,United States,deleted,3d9b4f6e87
51,c3cdf12266,2011-03-23 02:43:55,United States,active,4d5157da14
52,2934982ff3,2011-03-30 03:48:04,United States,active,9c3dd6523f
53,35295ec139,2011-03-31 03:59:25,Chile,active,4df55be30a
54,31b3de43a0,2011-04-08 13:11:17,United States,active,7e86a1c0b2
55,d1d56c3f28,2011-04-21 19:38:03,Chile,active,d764e528cd
56,596f2d84bb,2011-04-26 16:51:25,Canada,active,67f3236f42
57,f9c5757528,2011-04-30 13:40:47,United States,active,5bbf1b7c4d
58,c97fbb7311,2011-05-14 00:03:22,United States,active,6d5003b495
59,aeb01a0aec,2011-05-14 05:52:04,United States,active,b1ab479a07
60,1135c35163,2011-05-14 13:34:54,United States,active,ceca11caef
61,8cafe9534d,2011-05-14 17:54:12,United States,active,d1d9bc8c89
62,d7359d9a7c,2011-05-14 19:01:48,United States,active,6ead3df3b3
63,bd1ef21ab6,2011-05-14 19:04:56,United States,active,d5a2704754
64,0fdfc00fc5,2011-05-15 03:22:37,Canada,active,99fd90db04
65,702c132a44,2011-05-16 20:10:43,United States,active,d5b4f698f7
66,8cce42c8d8,2011-05-19 10:51:41,Netherlands,active,6b0718a808
67,db5b226ada,2011-05-20 08:02:28,United States,active,e99ced607f
68,6d964dc115,2011-05-21 02:48:43,United States,active,79ab81f267
69,d6a558ee0e,2011-05-25 12:57:09,United Kingdom,active,2ec6d41cc4
70,89eec205a2,2011-05-29 17:04:02,United States,active,6fd2527ac0
71,8712a4b2df,2011-06-01 03:26:57,United States,active,4494662f1a
72,2d73a12f06,2011-06-04 03:17:58,United States,active,e432d8b8b5
73,37796eb14d,2011-06-06 14:11:07,Canada,active,5aace4e013
74,b3bb5ca9c3,2011-06-10 22:03:33,Switzerland,active,b2d3c2c389
75,26adbdf97e,2011-06-16 23:57:48,United States,active,636649c260
76,881d42540b,2011-06-18 23:39:55,United States,active,6fb191915b
77,3d2c440a5a,2011-06-21 09:26:50,Italy,active,e9a5274211
78,131b08095a,2011-06-22 20:39:36,Canada,active,05feaef95d
79,7a79ffb4aa,2011-06-23 16:38:13,Brazil,active,c1e688d422
80,a8e3e37d9c,2011-07-06 03:07:00,Chile,active,de70841217
81,07869cc689,2011-07-08 08:28:12,Australia,active,6f853d3c68
82,f641113348,2011-07-14 04:45:56,Viet Nam,active,79568137e8
83,f4bd4c3000,2011-07-16 17:19:46,Chile,active,b3a018e619
84,f66664dc9d,2011-07-19 12:11:25,Austria,active,834adf38b3
85,c72ed31cc7,2011-07-21 10:55:30,Germany,active,1ec7b3fc26
86,193f487c92,2011-07-23 13:47:08,United Kingdom,active,fb04e68f84
87,c33e8b5e09,2011-07-25 07:02:33,United Kingdom,active,dd45448819
88,d4b66b0f93,2011-07-26 22:15:50,Chile,active,bd9f88e92e
89,c50bb74f65,2011-07-27 22:04:02,South Africa,active,b11f7af678
90,f368b55173,2011-08-08 14:18:50,Chile,deleted,53b646404a
91,43a5615ae9,2011-08-09 02:21:49,United Kingdom,active,a8f070746f
92,201007a7c2,2011-08-10 17:40:14,United Kingdom,active,be837762bb
93,65e8c23f65,2011-08-11 20:52:07,United States,active,e064527b6a
94,76144b80c2,2011-08-13 15:33:55,Sweden,active,fc03ea169b
95,c6a59a5277,2011-08-14 00:47:04,Canada,active,d0d2efe253
96,5040172753,2011-08-15 01:57:45,Argentina,active,3bfd251a49
97,d2281f313e,2011-08-15 12:05:12,Mexico,active,9f8c85095d
